word	pos_values
acastanhado	adj,noun
acastanhar	verb
acastelar	verb
acastrapar	verb
acatador	adj,noun
acatamento	noun
acatar	verb
acatarroar	verb
acatassolamento	noun
acateco	adj,noun
acatingado	adj
acatitar	verb
acaudelar	verb
acaudilhar	verb
acausto	adj
acautelar	verb
acautelável	adj
acauã	noun
acavalar	verb
acaçapado	adj
acaçapar	verb
acceitar	verb
accelerando	noun
accionar	verb
accionista	noun
accipitriforme	adj
accipitriformes	noun
accipitrídeos	noun
accordo	noun
accumular	verb
acebar	verb
acebolado	adj
acebolar	verb
aceder	verb
acedência	noun
aceguá	noun
aceirar	verb
aceiro	adj,noun
aceitamento	noun
aceitar	verb
aceitavelmente	adv
aceitação	noun
aceite	adj,noun
aceito	adj
aceitável	adj
acejo	noun
aceleradamente	adv
acelerado	adj
acelerador	noun
aceleramento	noun
acelerando	adv,noun
acelerar	verb
aceleração	noun
acelga	noun
acelga-brava	noun
acelina	noun
acelino	noun
acenar	verb
acendalha	noun
acender	verb
acendido	adj
acendrar	verb
aceniscar	verb
aceno	noun
acenso	noun
acento	noun
acentuadamente	adv
acentuar	verb
acentuação	noun
acenês	noun
acep	abbrev
acepilhar	verb
acepipar	verb
acepipe	noun
acepção	noun
acequiar	verb
acerado	adj
acerar	verb
acerbamente	adv
acerbar	verb
acerbo	adj
acerca	adv
acercar	verb
acerejar	verb
acerola	noun
acerolas	noun
aceroleira	noun
acerolhar	verb
acerrimamente	adv
acertadamente	adv
acertado	adj
acertar	verb
acerto	noun
acervar	verb
acervo	noun
aceráceo	adj
acerável	adj
aceríneo	adj
aces	abbrev
aceso	adj
acessar	verb
acessibilidade	noun
acessivelmente	adv
acesso	noun
acessoriamente	adv
acessão	noun
acessível	adj
acessório	adj,noun
acetabuliforme	adj
acetar	verb
acetato	noun
acetificar	verb
acetilcolina	noun
acetileno	noun
acetinado	adj
acetinar	verb
aceto	noun
acetona	noun
acetómetro	noun
acetômetro	noun
acevadar	verb
acevar	verb
aceção	noun
acha	noun
achabaçar	verb
achaboucado	adj
achaboucar	verb
achacar	verb
achadense	adj,noun
achadinhense	adj,noun
achadiço	adj,noun
achado	noun
achador	adj,noun
achaer	verb
achafundar	verb
achaiar	verb
achair	verb
achairar	verb
achamboado	adj
achanar	verb
achaninca	adj,noun
achaparrar	verb
achaque	noun
achar	noun,verb
achatado	adj
achatadura	noun
achatamento	noun
achatar	verb
achavascar	verb
ache	abbrev
achega	noun
achegado	adj,noun
achegar	verb
achego	noun
achi	noun
achicar	verb
achigã	noun
achimpar	verb
achinar	verb
achincalhamento	noun
achincalhar	verb
achincalhação	noun
achincalhe	noun
achinesar	verb
achocalhar	verb
achocolatado	noun
achocolatar	verb
achteroequês	adj,noun
achádego	noun
achém	noun
acib	abbrev
acicatar	verb
acicate	noun
aciclovir	noun
acicular	adj
acidar	verb
acidentado	adj
acidental	adj
acidentalmente	adv
acidentar	verb
acidente	noun
acidentologia	noun
acidez	noun
acidificar	verb
acidificação	noun
acidular	verb
acidália	noun
acidógeno	adj
acif	abbrev
aciganar	verb
acima	adv
acimentado	adj
acimentar	verb
acingir	verb
acinonyx	noun
acinte	adv,noun
acintosamente	adv
acintoso	adj
acinzentado	adj
acinzentar	verb
acináceo	adj
acionador	adj,noun
acionamento	noun
acionar	verb
acionista	noun
acionário	adj,noun
acip	abbrev
acipreste	noun
acirradamente	adv
acirrante	adj,noun
acirrar	verb
aclamado	adj
aclamar	verb
aclamação	noun
aclanon	noun
aclarar	verb
aclerizar-se	verb
aclimar	verb
aclimatar	verb
aclimatação	noun
aclimatizar	verb
aclimação	noun
aclive	adj,noun
acluofobia	noun
acne	noun
acnur	abbrev
acoar	verb
acobardado	adj
acobardar	verb
acobertar	verb
acobilhar	verb
acobrear	verb
acocar	verb
acochado	adj
acochambrar	verb
acochar	verb
acocorado	adj
acocorar	verb
acocoto	noun
acografia	noun
acogulado	noun
acogular	verb
acoimar	verb
acoirelar	verb
acoitadar	verb
acoitamento	noun
acoitar	verb
acoiçar	verb
acolchetar	verb
acolchoado	adj,noun
acolchoar	verb
acolhedor	adj,noun
acolhedoramente	adv
acolher	verb
acolherar	verb
acolhida	noun
acolhido	adj
acolhimento	noun
acolitar	verb
acolá	adv
acometer	verb
acometida	noun
acomodado	adj
acomodar	verb
acomodação	noun
acompadrar	verb
acompanhado	adj,noun
acompanhamento	noun
acompanhante	adj,noun
acompanhar	verb
acompridar	verb
aconchegadamente	adv
aconchegado	adj
aconchegante	adj
aconchegar	verb
aconchego	noun
acondicionamento	noun
acondicionar	verb
acondimentar	verb
aconfeitar	verb
aconselhamento	noun
aconselhar	verb
aconselhavelmente	adv
aconselhável	adj
acontecedeiro	adj
acontecer	verb
acontecido	adj,noun
acontecimento	noun
acontismologia	noun
acontista	noun
acopiara	noun
acoplado	adj
acoplamento	noun
acoplar	verb
acoplável	adj
acorar	verb
acordado	adj
acordança	noun
acordar	verb
acorde	adj,noun
acordeom	noun
acordeona	noun
acordeonista	adj,noun
acordeonístico	adj
acordeão	noun
acordo	noun
acordão	noun
acorizal	noun
acormóseo	adj
acoro	noun
acoroçoar	verb
acorreitar	verb
acorrentar	verb
acorrer	verb
acorro	noun
acossar	verb
acostagem	noun
acostamento	noun
acostar	verb
acostumado	adj
acostumar	verb
acostável	adj
acoticar	verb
acotiledóneo	adj
acotinhar-se	verb
acotovelar	verb
acoubar	verb
acoubo	noun
acougar	verb
acougo	noun
acountabilidade	noun
acoutar	verb
acovardar	verb
acovilhar	verb
acoxambrar	verb
acra	noun
acracia	noun
acrata	adj,noun
acre	adj,noun
acre-pé	noun
acreano	adj,noun
acreditar	verb
acreditação	noun
acreditável	adj
acredor	noun
acrelandense	adj,noun
acrelândia	noun
acremente	adv
acrense	adj,noun
acrescentado	adj
acrescentamento	noun
acrescentar	verb
acrescer	verb
acrescidamente	adv
acrescido	adj
acretar	verb
acreção	noun
acreúna	noun
acriano	adj,noun
acriançado	adj
acriançar	verb
acribelado	adj
acridez	noun
acrimoniosamente	adv
acrimonioso	adj
acrimónia	noun
acrimônia	noun
acrisoladamente	adv
acrisolar	verb
acriticamente	adv
acrobacia	noun
acrobata	noun
acrobaticamente	adv
acrobatismo	noun
acrobático	adj
acrodinia	noun
acrofilia	noun
acrofobia	noun
acroleico	adj
acromania	noun
acromático	adj
acropetal	adj
acrossemia	noun
acréscimo	noun
acrílico	adj,noun
acrítico	adj
acróbata	noun
acrónimo	noun
acrópole	noun
acróstico	noun
acrônimo	noun
acta	noun
acteia	noun
actel	noun
actinismo	noun
actino	noun
actinídeo	noun
actinómice	noun
actinômice	noun
actioma	noun
activa	noun
activado	adj
activante	adj
activar	verb
actividade	noun
activista	adj
activo	adj,noun
acto	noun
actografia	noun
actol	noun
actor	noun
actriz	noun
actual	adj
actualidade	noun
actualista	noun
actualizar	verb
actualmente	adv
actuante	adj
actuar	verb
actuarial	adj
actéia	noun
actéon	noun
actínia	noun
actínio	noun
acuado	adj
acuar	verb
acucado	adj
acucar	verb
acudir	verb
acuendar	verb
acugulado	noun
acuidade	noun
aculear	verb
aculturar	verb
aculturação	noun
acume	noun
acuminar	verb
acumuladamente	adv
acumulador	adj,noun
acumular	verb
acumulação	noun
acumulável	adj
acunhar	verb
acuo	noun
acupunctor	noun
acupunctura	noun
acupuncturar	verb
acupuntura	noun
acupunturar	verb
acupunturista	noun
acuracidade	noun
acuradamente	adv
acurado	adj
acurar	verb
acurralar	verb
acurrar	verb
acurvar	verb
acurácia	noun
acusado	adj,noun
acusador	adj,noun
acusar	verb
acusativo	adj,noun
acusação	noun
acusia	noun
acusticamente	adv
acuta	adj,noun
acutangulado	adj
acutangular	adj
acuticórneo	adj
acutilante	adj
acutilantemente	adv
acutilar	verb
acutipuru	noun
acutirrostro	adj
acutângulo	adj
acutíssimo	adj
acv	abbrev
acá	adv,intj,noun
acácia	noun
acácio	noun
acção	noun
acéfalo	adj,noun
acém	noun
acéquia	noun
