word	pos_values
aidukaitė	name
aidukas	name,noun
aidukienė	name
aifonas	noun
aikido	noun
aikštis	noun
aikštė	noun
aimanuoti	verb
ainis	noun
aipodas	noun
airija	name
airinė	name
airis	noun
airiškai	adv
airiškas	adj
airė	noun
aistis	name
aistė	name
aitvaras	noun
aivaras	name
aiškiai	adv
aiškinti	verb
aiškintis	verb
aiškus	adj
ajatola	noun
ajauskaitė	name
ajauskas	name
ajauskienė	name
akacija	noun
akademija	noun
akademinis	adj
akcentas	noun
akcentologija	noun
akcentuoti	verb
akcija	noun
akcininkas	noun
akcinis	adj
akelaitienė	name
akelaitis	name
akelaitytė	name
akiniai	noun
akiratis	noun
akis	noun
akivaizdus	adj
aklai	adv
aklas	adj
aklavietė	noun
aklumas	noun
akmenligė	noun
akmenslydis	noun
akmenė	name
akmuo	name,noun
akra	name
aksesuaras	noun
aksomas	noun
akstinas	noun
akstis	noun
aktinis	noun
aktorius	noun
aktualus	adj
akuotas	noun
akvakultūra	noun
akvariumas	noun
akvilas	name
akvilė	name
akėti	verb
akėčios	noun
alachas	name
alavas	noun
albanas	noun
albanietis	noun
albanietė	noun
albanija	name
albaniškai	adv
albaniškas	adj
albanė	noun
albanų	noun
albertas	name
albina	name
albinas	name
albrechtaitė	name
albrechtas	name
albrechtienė	name
albumas	noun
aldona	name
aldžius	name
alegorija	noun
alekna	name
aleknaitis	name
aleknavičienė	name
aleknavičius	name
aleknavičiūtė	name
aleksa	name
aleksaitė	name
aleksandra	name
aleksandraitis	name
aleksandras	name
aleksandravičienė	name
aleksandravičius	name
aleksandravičiūtė	name
aleksandrija	name
aleksas	name
aleksejevas	name
aleksejus	name
aleksejūnas	name
aleksenis	name
aleksevičienė	name
aleksevičius	name
aleksevičiūtė	name
aleksienė	name
aleliūnaitė	name
aleliūnas	name
aleliūnienė	name
alergija	noun
aleška	name
aleškevičienė	name
aleškevičius	name
aleškevičiūtė	name
alfonsas	name
alfreda	name
alfredas	name
alga	noun
algimantas	name
algirdas	name
algis	name
algoritmas	noun
aliai	adv
aliatyvas	noun
aliejus	noun
aligatorius	noun
alijevas	name
alina	name
alio	intj
alisteris	name
aliukas	name
aliukonienė	name
aliukonis	name
aliukonytė	name
aliumininis	adj
aliuminis	noun
alkanas	noun
alkas	noun
alkis	noun
alkoholikas	noun
alkoholinis	adj
alkoholis	noun
alkūnė	noun
alma	name
alminas	name
aloyzas	name
alprazolamas	noun
alpės	name
alseika	name
alseikaitė	name
alseikienė	name
alsienė	name
alsuoti	verb
alsys	name
alsytė	name
alternatyvus	adj
altorius	noun
aludaris	adj,noun
aludė	noun
alus	noun
alvydas	name
alvyra	name
alytus	name
alyva	noun
alyvmedis	noun
alyvuogė	noun
alšauskaitė	name
alšauskas	name
alšauskienė	name
alšis	name
alžyras	name
amalas	noun
amalija	name
amanas	name
amas	noun
amatas	noun
ambasada	noun
ambasadorius	noun
ambicija	noun
ambrazaitienė	name
ambrazaitis	name
ambrazaitytė	name
ambrazevičienė	name
ambrazevičius	name
ambrazevičiūtė	name
americis	noun
amerika	name
amerikietis	noun
amerikinis	adj
amfibija	noun
amfiteatras	noun
amsterdamas	name
amuletas	noun
amžinas	adj
amžius	noun
ana	particle
anagrama	noun
anaip	adv
anaiptol	particle
analinis	adj
analizuoti	verb
analizė	noun
analogija	noun
ananasas	noun
anapilin	noun
anapilis	noun
anas	det
anastasijus	name
anastazija	name
anatolijus	name
anatomija	noun
ancas	name
ancevičienė	name
ancevičius	name
ancevičiūtė	name
ancienė	name
andora	name
andoriete	noun
andorietis	noun
andorietė	noun
andreika	name
andrejauskaitė	name
andrejauskas	name
andrejauskienė	name
andriejauka	name
andrijauskas	name
andrijus	name
andriukaitis	name
andriukas	name
andriukevičius	name
andriukėnas	name
andrius	name
andriuška	name
andriuškevičius	name
andrulaitis	name
andrulevičius	name
andrulionis	name
andrulis	name
andruškevičius	name
andrėjus	name
andziulevičius	name
andziulis	name
anelė	name
angela	name
angelas	noun
angilija	name
angis	noun
anglakalbis	adj,noun
anglas	noun
angliakasys	noun
angliavandenilis	noun
anglija	name
anglikonas	noun
anglikonybė	noun
anglis	noun
angliškai	adv
angliškas	adj
anglė	noun
angola	name
aniškevičius	name
ankara	name
anketa	noun
anksti	adv
ankstus	adj
ankštas	adj
ankštiras	noun
anomalija	noun
ant	prep
antakis	noun
antanaitis	name
antananaryvas	name
antanas	name
antanauskas	name
antanavičius	name
antanevičius	name
antanina	name
antanynas	name
antanėlis	name
antarktida	name
antibiotikas	noun
antibiotinis	adj
antidalelė	noun
antiena	noun
antigva	name
antikarinis	adj
antilopė	noun
antinas	noun
antinis	name
antis	noun
antkainis	noun
antklodė	noun
antologija	noun
antonimas	noun
antoniukas	name
antonovas	name
antra	adj
antradienis	noun
antraip	adv
antras	adj
antraštė	noun
antro	adj
antrokas	noun
antrokė	noun
antropologija	noun
antros	adj
antru	adj
antrą	adj
antrąkart	adv
antsivalgyti	verb
antstolis	noun
anupras	name
anušauskas	name
anykščiai	name
anyta	noun
ančiasnapis	noun
anūkas	noun
apanavičius	name
aparatas	noun
aparatūra	noun
apartamentas	noun
apaštalas	noun
apdarant	verb
apdarius	verb
apdarydamas	verb
apdarydavus	verb
apdarysiant	verb
apdaryti	verb
apdriskėlis	noun
apeliacinis	adj
apelsinas	noun
apeninai	name
apetitas	noun
apgailestauti	verb
apgailėtinas	adj
apgalint	verb
apgalėdamas	verb
apgalėdavus	verb
apgalėjus	verb
apgalėsiant	verb
apgalėti	verb
apgaudamas	verb
apgaudavus	verb
apgaunant	verb
apgausiant	verb
apgauti	verb
apgavus	verb
apgavystė	noun
apibrėžimas	noun
apie	prep
apija	name
apimtis	noun
apipjaustymas	noun
apipjaustyti	verb
apkabinti	verb
apkalbėti	verb
apkaltinti	verb
apkeliaudamas	verb
apkeliaudavus	verb
apkeliaujant	verb
apkeliausiant	verb
apkeliauti	verb
apkeliavus	verb
aplaižant	verb
aplaižius	verb
aplaižydamas	verb
aplaižydavus	verb
aplaižysiant	verb
aplaižyti	verb
aplankas	noun
apledėti	verb
aplinka	noun
aplinkybė	noun
aplipti	verb
apmauti	verb
apmirdamas	verb
apmirdavus	verb
apmirsiant	verb
apmirti	verb
apmirus	verb
apmirštant	verb
apniukti	verb
apniūkti	verb
apofonija	noun
apokalipsė	noun
apolonas	name
apostrofa	noun
apostrofas	noun
aprašas	noun
aprašymas	noun
aprašyti	verb
apsakant	verb
apsakius	verb
apsakydamas	verb
apsakydavus	verb
apsakysiant	verb
apsakyti	verb
apsauga	noun
apsaugoti	verb
apsimesti	verb
apsiuvant	verb
apsiuvus	verb
apsišaukėlis	noun
apsišikti	verb
apsiūdamas	verb
apsiūdavus	verb
apsiūsiant	verb
apsiūti	verb
apskaičiuoti	verb
apskritis	noun
aptardamas	verb
aptardavus	verb
aptariant	verb
aptarimas	noun
aptarnavimas	noun
aptarsiant	verb
aptarti	verb
aptarus	verb
aptikti	verb
apuokas	noun
apvalgant	verb
apvalgius	verb
apvalgydamas	verb
apvalgydavus	verb
apvalgysiant	verb
apvalgyti	verb
apvalus	adj
apvaras	noun
apygarda	noun
apylinkė	noun
apynys	noun
apyvarpė	noun
apyvarta	noun
apžiūrėti	verb
ar	conj,particle
arabija	name
arabiškai	adv
arabiškas	adj
aranauskas	name
aras	noun
arba	conj
arbaletas	noun
arbata	noun
arbatinukas	noun
arbatpinigiai	noun
arbačiauskas	name
arbačiauskienė	name
arbūzas	noun
arbūzinis	adj
archangelskas	name
archeologija	noun
archipelagas	noun
architektas	noun
architektūra	noun
archontas	noun
archyvas	noun
archyvinis	adj
arcimas	name
arcimavičienė	name
arcimavičius	name
arcimavičiūtė	name
ardyti	verb
arelis	name
areliūnas	name
areole	noun
areolė	noun
