infinitiv	praes1	praes2	praes3	praes4	praes5	praes6	praet1	praet2	praet3	praet4	praet5	praet6	partizip2	imp_sg	imp_pl
wegstellen	stelle weg	stellst weg	stellt weg	stellen weg	stellt weg	stellen weg	stellte weg	stelltest weg	stellte weg	stellten weg	stelltet weg	stellten weg	weggestellt	stell weg	stellt weg
wegsterben	sterbe weg	stirbst weg	stirbt weg	sterben weg	sterbt weg	sterben weg	starb weg	starbst weg	starb weg	starben weg	starbt weg	starben weg	weggestorben	stirb weg	sterbt weg
wegstoßen	stoße weg	stößt weg	stößt weg	stoßen weg	stoßt weg	stoßen weg	stieß weg	stießest weg	stieß weg	stießen weg	stießt weg	stießen weg	weggestoßen	stoß weg	stoßt weg
wegstreben	strebe weg	strebst weg	strebt weg	streben weg	strebt weg	streben weg	strebte weg	strebtest weg	strebte weg	strebten weg	strebtet weg	strebten weg	weggestrebt	streb weg	strebt weg
wegstreichen	streiche weg	streichst weg	streicht weg	streichen weg	streicht weg	streichen weg	strich weg	strichst weg	strich weg	strichen weg	stricht weg	strichen weg	weggestrichen	streich weg	streicht weg
wegstürmen	stürm weg	stürmst weg	stürmt weg	stürmen weg	stürmt weg	stürmen weg	stürmte weg	stürmtest weg	stürmte weg	stürmten weg	stürmtet weg	stürmten weg	weggestürmt	stürm weg	stürmt weg
wegtauchen	tauche weg	tauchst weg	taucht weg	tauchen weg	taucht weg	tauchen weg	tauchte weg	tauchtest weg	tauchte weg	tauchten weg	tauchtet weg	tauchten weg	weggetaucht	tauch weg	taucht weg
wegtauen	taue weg	taust weg	taut weg	tauen weg	taut weg	tauen weg	taute weg	tautest weg	taute weg	tauten weg	tautet weg	tauten weg	weggetaut	tau weg	taut weg
wegtolerieren	toleriere weg	tolerierst weg	toleriert weg	tolerieren weg	toleriert weg	tolerieren weg	tolerierte weg	toleriertest weg	tolerierte weg	tolerierten weg	toleriertet weg	tolerierten weg	wegtoleriert	tolerier weg	toleriert weg
wegtraben	trabe weg	trabst weg	trabt weg	traben weg	trabt weg	traben weg	trabte weg	trabtest weg	trabte weg	trabten weg	trabtet weg	trabten weg	weggetrabt	trab weg	trabt weg
wegtragen	trage weg	trägst weg	trägt weg	tragen weg	tragt weg	tragen weg	trug weg	trugst weg	trug weg	trugen weg	trugt weg	trugen weg	weggetragen	trag weg	tragt weg
wegtrainieren	trainiere weg	trainierst weg	trainiert weg	trainieren weg	trainiert weg	trainieren weg	trainierte weg	trainiertest weg	trainierte weg	trainierten weg	trainiertet weg	trainierten weg	wegtrainiert	wegtrainiere	wegtrainiert
wegtransportieren	transportiere weg	transportierst weg	transportiert weg	transportieren weg	transportiert weg	transportieren weg	transportierte weg	transportiertest weg	transportierte weg	transportierten weg	transportiertet weg	transportierten weg	wegtransportiert	transportier weg	transportiert weg
wegtreiben	treibe weg	treibst weg	treibt weg	treiben weg	treibt weg	treiben weg	trieb weg	triebst weg	trieb weg	trieben weg	triebt weg	trieben weg	weggetrieben	treib weg	treibt weg
wegtreten	trete weg	trittst weg	tritt weg	treten weg	tretet weg	treten weg	trat weg	tratest weg	trat weg	traten weg	tratet weg	traten weg	weggetreten	tritt weg	tretet weg
wegtrinken	trinke weg	trinkst weg	trinkt weg	trinken weg	trinkt weg	trinken weg	trank weg	trankst weg	trank weg	tranken weg	trankt weg	tranken weg	weggetrunken	trinke weg	trinkt weg
wegtrocknen	trockne weg	trocknest weg	trocknet weg	trocknen weg	trocknet weg	trocknen weg	trocknete weg	trocknetest weg	trocknete weg	trockneten weg	trocknetet weg	trockneten weg	weggetrocknet	trockne weg	trocknet weg
