infinitiv	praes1	praes2	praes3	praes4	praes5	praes6	praet1	praet2	praet3	praet4	praet5	praet6	partizip2	imp_sg	imp_pl
abpumpen	pumpe ab	pumpst ab	pumpt ab	pumpen ab	pumpt ab	pumpen ab	pumpte ab	pumptest ab	pumpte ab	pumpten ab	pumptet ab	pumpten ab	abgepumpt	pump ab	pumpt ab
abputzen	putze ab	putzt ab	putzt ab	putzen ab	putzt ab	putzen ab	putzte ab	putztest ab	putzte ab	putzten ab	putztet ab	putzten ab	abgeputzt	putz ab	putzt ab
abpölen	pöle ab	pölst ab	pölt ab	pölen ab	pölt ab	pölen ab	pölte ab	pöltest ab	pölte ab	pölten ab	pöltet ab	pölten ab	abgepölt	pöle ab	pölt ab
abqualifizieren	qualifiziere ab	qualifizierst ab	qualifiziert ab	qualifizieren ab	qualifiziert ab	qualifizieren ab	qualifizierte ab	qualifiziertest ab	qualifizierte ab	qualifizierten ab	qualifiziertet ab	qualifizierten ab	abqualifiziert	qualifiziere ab	qualifiziert ab
abquatschen	quatsche ab	quatschst ab	quatscht ab	quatschen ab	quatscht ab	quatschen ab	quatschte ab	quatschtest ab	quatschte ab	quatschten ab	quatschtet ab	quatschten ab	abgequatscht	quatsch ab	quatscht ab
abquetschen	quetsche ab	quetschst ab	quetscht ab	quetschen ab	quetscht ab	quetschen ab	quetschte ab	quetschtest ab	quetschte ab	quetschten ab	quetschtet ab	quetschten ab	abgequetscht	quetsch ab	quetscht ab
abrackern													abgerackert	rackere ab	rackert ab
abrahmen	rahm ab	rahmst ab	rahmt ab	rahmen ab	rahmt ab	rahmen ab	rahmte ab	rahmtest ab	rahmte ab	rahmten ab	rahmtet ab	rahmten ab	abgerahmt	rahm ab	rahmt ab
abrasieren	rasiere ab	rasierst ab	rasiert ab	rasieren ab	rasiert ab	rasieren ab	rasierte ab	rasiertest ab	rasierte ab	rasierten ab	rasiertet ab	rasierten ab	abrasiert	rasier ab	rasiert ab
abraspeln	rasple ab	raspelst ab	raspelt ab	raspeln ab	raspelt ab	raspeln ab	raspelte ab	raspeltest ab	raspelte ab	raspelten ab	raspeltet ab	raspelten ab	abgeraspelt	raspel ab	raspelt ab
abraten	rate ab	rätst ab	rät ab	raten ab	ratet ab	raten ab	riet ab	rietest ab	riet ab	rieten ab	rietet ab	rieten ab	abgeraten	rat ab	ratet ab
abrauschen	rausche ab	rauschst ab	rauscht ab	rauschen ab	rauscht ab	rauschen ab	rauschte ab	rauschtest ab	rauschte ab	rauschten ab	rauschtet ab	rauschten ab	abgerauscht	rausch ab	rauscht ab
abreagieren	reagiere ab	reagierst ab	reagiert ab	reagieren ab	reagiert ab	reagieren ab	reagierte ab	reagiertest ab	reagierte ab	reagierten ab	reagiertet ab	reagierten ab	abreagiert	reagier ab	reagiert ab
abrebeln	reble ab	rebelst ab	rebelt ab	rebeln ab	rebelt ab	rebeln ab	rebelte ab	rebeltest ab	rebelte ab	rebelten ab	rebeltet ab	rebelten ab	abgerebelt	rebel ab	rebelt ab
abrechnen	rechne ab	rechnest ab	rechnet ab	rechnen ab	rechnet ab	rechnen ab	rechnete ab	rechnetest ab	rechnete ab	rechneten ab	rechnetet ab	rechneten ab	abgerechnet	rechne ab	rechnet ab
abreden	rede ab	redest ab	redet ab	reden ab	redet ab	reden ab	redete ab	redetest ab	redete ab	redeten ab	redetet ab	redeten ab	abgeredet	rede ab	redet ab
abregen													abgeregt	reg ab	regt ab
abreiben	reibe ab	reibst ab	reibt ab	reiben ab	reibt ab	reiben ab	rieb ab	riebst ab	rieb ab	rieben ab	riebt ab	rieben ab	abgerieben	reib ab	reibt ab
abreichen	reiche ab	reichst ab	reicht ab	reichen ab	reicht ab	reichen ab	reichte ab	reichtest ab	reichte ab	reichten ab	reichtet ab	reichten ab	abgereicht	reich ab	reicht ab
abreichern	reicher ab	reicherst ab	reichert ab	reichern ab	reichert ab	reichern ab	reicherte ab	reichertest ab	reicherte ab	reicherten ab	reichertet ab	reicherten ab	abgereichert	reichere ab	reichert ab
abreisen	reise ab	reist ab	reist ab	reisen ab	reist ab	reisen ab	reiste ab	reistest ab	reiste ab	reisten ab	reistet ab	reisten ab	abgereist	reise ab	reist ab
abreiten	reite ab	reitest ab	reitet ab	reiten ab	reitet ab	reiten ab	ritt ab	rittest ab	ritt ab	ritten ab	rittet ab	ritten ab	abgeritten	reit ab	reitet ab
abreißen	reiße ab	reißt ab	reißt ab	reißen ab	reißt ab	reißen ab	riss ab	rissest ab	riss ab	rissen ab	risst ab	rissen ab	abgerissen	reiß ab	reißt ab
abrennen	renne ab	rennst ab	rennt ab	rennen ab	rennt ab	rennen ab	rannte ab	ranntest ab	rannte ab	rannten ab	ranntet ab	rannten ab	abgerannt	renn ab	rennt ab
abrichten	richte ab	richtest ab	richtet ab	richten ab	richtet ab	richten ab	richtete ab	richtetest ab	richtete ab	richteten ab	richtetet ab	richteten ab	abgerichtet	richt ab	richtet ab
abriegeln	riegle ab	riegelst ab	riegelt ab	riegeln ab	riegelt ab	riegeln ab	riegelte ab	riegeltest ab	riegelte ab	riegelten ab	riegeltet ab	riegelten ab	abgeriegelt	riegele ab	riegelt ab
abriggern	rigger ab	riggerst ab	riggert ab	riggern ab	riggert ab	riggern ab	riggerte ab	riggertest ab	riggerte ab	riggerten ab	riggertet ab	riggerten ab	abgeriggert	rigger ab	riggert ab
abringen	ringe ab	ringst ab	ringt ab	ringen ab	ringt ab	ringen ab	rang ab	rangst ab	rang ab	rangen ab	rangt ab	rangen ab	abgerungen	ring ab	ringt ab
abrocken	rocke ab	rockst ab	rockt ab	rocken ab	rockt ab	rocken ab	rockte ab	rocktest ab	rockte ab	rockten ab	rocktet ab	rockten ab	abgerockt	rocke ab	rockt ab
abrogieren	abrogiere	abrogierst	abrogiert	abrogieren	abrogiert	abrogieren	abrogierte	abrogiertest	abrogierte	abrogierten	abrogiertet	abrogierten	abrogiert	abrogier	abrogiert
abrollen	rolle ab	rollst ab	rollt ab	rollen ab	rollt ab	rollen ab	rollte ab	rolltest ab	rollte ab	rollten ab	rolltet ab	rollten ab	abgerollt	roll ab	rollt ab
abrubbeln	rubble ab	rubbelst ab	rubbelt ab	rubbeln ab	rubbelt ab	rubbeln ab	rubbelte ab	rubbeltest ab	rubbelte ab	rubbelten ab	rubbeltet ab	rubbelten ab	abgerubbelt	rubbel ab	rubbelt ab
abrufen	rufe ab	rufst ab	ruft ab	rufen ab	ruft ab	rufen ab	rief ab	riefst ab	rief ab	riefen ab	rieft ab	riefen ab	abgerufen	ruf ab	ruft ab
abrunden	runde ab	rundest ab	rundet ab	runden ab	rundet ab	runden ab	rundete ab	rundetest ab	rundete ab	rundeten ab	rundetet ab	rundeten ab	abgerundet	runde ab	rundet ab
abrupfen	rupfe ab	rupfst ab	rupft ab	rupfen ab	rupft ab	rupfen ab	rupfte ab	rupftest ab	rupfte ab	rupften ab	rupftet ab	rupften ab	abgerupft	rupf ab	rupft ab
abrutschen	rutsche ab	rutschst ab	rutscht ab	rutschen ab	rutscht ab	rutschen ab	rutschte ab	rutschtest ab	rutschte ab	rutschten ab	rutschtet ab	rutschten ab	abgerutscht	rutsch ab	rutscht ab
abräumen	räum ab	räumst ab	räumt ab	räumen ab	räumt ab	räumen ab	räumte ab	räumtest ab	räumte ab	räumten ab	räumtet ab	räumten ab	abgeräumt	räume ab	räumt ab
abrücken	rücke ab	rückst ab	rückt ab	rücken ab	rückt ab	rücken ab	rückte ab	rücktest ab	rückte ab	rückten ab	rücktet ab	rückten ab	abgerückt	rück ab	rückt ab
abrühren	rühre ab	rührst ab	rührt ab	rühren ab	rührt ab	rühren ab	rührte ab	rührtest ab	rührte ab	rührten ab	rührtet ab	rührten ab	abgerührt	rühr ab	rührt ab
abrüsten	rüste ab	rüstest ab	rüstet ab	rüsten ab	rüstet ab	rüsten ab	rüstete ab	rüstetest ab	rüstete ab	rüsteten ab	rüstetet ab	rüsteten ab	abgerüstet	rüst ab	rüstet ab
absacken	sacke ab	sackst ab	sackt ab	sacken ab	sackt ab	sacken ab	sackte ab	sacktest ab	sackte ab	sackten ab	sacktet ab	sackten ab	abgesackt	sack ab	sackt ab
absagen	sage ab	sagst ab	sagt ab	sagen ab	sagt ab	sagen ab	sagte ab	sagtest ab	sagte ab	sagten ab	sagtet ab	sagten ab	abgesagt	sage ab	sagt ab
absahnen	sahn ab	sahnst ab	sahnt ab	sahnen ab	sahnt ab	sahnen ab	sahnte ab	sahntest ab	sahnte ab	sahnten ab	sahntet ab	sahnten ab	abgesahnt	sahne ab	sahnt ab
absaugen	sauge ab	saugst ab	saugt ab	saugen ab	saugt ab	saugen ab	saugte ab	saugtest ab	saugte ab	saugten ab	saugtet ab	saugten ab	abgesogen	saug ab	saugt ab
absaven	save ab	savst ab	savt ab	saven ab	savt ab	saven ab	savte ab	savtest ab	savte ab	savten ab	savtet ab	savten ab	abgesavt	save ab	savt ab
abschaben	schabe ab	schabst ab	schabt ab	schaben ab	schabt ab	schaben ab	schabte ab	schabtest ab	schabte ab	schabten ab	schabtet ab	schabten ab	abgeschabt	schab ab	schabt ab
abschachern	schacher ab	schacherst ab	schachert ab	schachern ab	schachert ab	schachern ab	schacherte ab	schachertest ab	schacherte ab	schacherten ab	schachertet ab	schacherten ab	abgeschachert	schachere ab	schachert ab
abschaffen	schaffe ab	schaffst ab	schafft ab	schaffen ab	schafft ab	schaffen ab	schaffte ab	schafftest ab	schaffte ab	schafften ab	schafftet ab	schafften ab	abgeschafft	schaffe ab	schafft ab
abschalten	schalte ab	schaltest ab	schaltet ab	schalten ab	schaltet ab	schalten ab	schaltete ab	schaltetest ab	schaltete ab	schalteten ab	schaltetet ab	schalteten ab	abgeschaltet	schalt ab	schaltet ab
abschauen	schaue ab	schaust ab	schaut ab	schauen ab	schaut ab	schauen ab	schaute ab	schautest ab	schaute ab	schauten ab	schautet ab	schauten ab	abgeschaut	schau ab	schaut ab
abscheiden	scheide ab	scheidest ab	scheidet ab	scheiden ab	scheidet ab	scheiden ab	schied ab	schiedest ab	schied ab	schieden ab	schiedet ab	schieden ab	abgeschieden	scheid ab	scheidet ab
abschenken	schenke ab	schenkst ab	schenkt ab	schenken ab	schenkt ab	schenken ab	schenkte ab	schenktest ab	schenkte ab	schenkten ab	schenktet ab	schenkten ab	abgeschenkt	schenk ab	schenkt ab
abschicken	schicke ab	schickst ab	schickt ab	schicken ab	schickt ab	schicken ab	schickte ab	schicktest ab	schickte ab	schickten ab	schicktet ab	schickten ab	abgeschickt	schick ab	schickt ab
abschieben	schiebe ab	schiebst ab	schiebt ab	schieben ab	schiebt ab	schieben ab	schob ab	schobst ab	schob ab	schoben ab	schobt ab	schoben ab	abgeschoben	schiebe ab	schiebt ab
abschießen	schieße ab	schießt ab	schießt ab	schießen ab	schießt ab	schießen ab	schoss ab	schossest ab	schoss ab	schossen ab	schosst ab	schossen ab	abgeschossen	schieß ab	schießt ab
abschilfern			schilfert ab			schilfern ab			schilferte ab			schilferten ab	abgeschilfert		
abschirmen	schirm ab	schirmst ab	schirmt ab	schirmen ab	schirmt ab	schirmen ab	schirmte ab	schirmtest ab	schirmte ab	schirmten ab	schirmtet ab	schirmten ab	abgeschirmt	schirm ab	schirmt ab
abschirren	schirre ab	schirrst ab	schirrt ab	schirren ab	schirrt ab	schirren ab	schirrte ab	schirrtest ab	schirrte ab	schirrten ab	schirrtet ab	schirrten ab	abgeschirrt	schirr ab	schirrt ab
abschlachten	schlachte ab	schlachtest ab	schlachtet ab	schlachten ab	schlachtet ab	schlachten ab	schlachtete ab	schlachtetest ab	schlachtete ab	schlachteten ab	schlachtetet ab	schlachteten ab	abgeschlachtet	schlachte ab	schlachtet ab
abschlagen	schlage ab	schlägst ab	schlägt ab	schlagen ab	schlagt ab	schlagen ab	schlug ab	schlugst ab	schlug ab	schlugen ab	schlugt ab	schlugen ab	abgeschlagen	schlag ab	schlagt ab
abschlecken	schlecke ab	schleckst ab	schleckt ab	schlecken ab	schleckt ab	schlecken ab	schleckte ab	schlecktest ab	schleckte ab	schleckten ab	schlecktet ab	schleckten ab	abgeschleckt	schleck ab	schleckt ab
abschleifen	schleife ab	schleifst ab	schleift ab	schleifen ab	schleift ab	schleifen ab	schliff ab	schliffst ab	schliff ab	schliffen ab	schlifft ab	schliffen ab	abgeschliffen	schleif ab	schleift ab
abschleppen	schleppe ab	schleppst ab	schleppt ab	schleppen ab	schleppt ab	schleppen ab	schleppte ab	schlepptest ab	schleppte ab	schleppten ab	schlepptet ab	schleppten ab	abgeschleppt	schleppe ab	schleppt ab
abschließen	schließe ab	schließt ab	schließt ab	schließen ab	schließt ab	schließen ab	schloss ab	schlossest ab	schloss ab	schlossen ab	schlosst ab	schlossen ab	abgeschlossen	schließ ab	schließt ab
abschmecken	schmecke ab	schmeckst ab	schmeckt ab	schmecken ab	schmeckt ab	schmecken ab	schmeckte ab	schmecktest ab	schmeckte ab	schmeckten ab	schmecktet ab	schmeckten ab	abgeschmeckt	schmeck ab	schmeckt ab
abschmeicheln	schmeichle ab	schmeichelst ab	schmeichelt ab	schmeicheln ab	schmeichelt ab	schmeicheln ab	schmeichelte ab	schmeicheltest ab	schmeichelte ab	schmeichelten ab	schmeicheltet ab	schmeichelten ab	abgeschmeichelt	schmeichle ab	schmeichelt ab
abschmeißen	schmeiße ab	schmeißt ab	schmeißt ab	schmeißen ab	schmeißt ab	schmeißen ab	schmiss ab	schmissest ab	schmiss ab	schmissen ab	schmisst ab	schmissen ab	abgeschmissen	schmeiß ab	schmeißt ab
abschmettern	schmetter ab	schmetterst ab	schmettert ab	schmettern ab	schmettert ab	schmettern ab	schmetterte ab	schmettertest ab	schmetterte ab	schmetterten ab	schmettertet ab	schmetterten ab	abgeschmettert	schmetter ab	schmettert ab
abschmieren	schmiere ab	schmierst ab	schmiert ab	schmieren ab	schmiert ab	schmieren ab	schmierte ab	schmiertest ab	schmierte ab	schmierten ab	schmiertet ab	schmierten ab	abgeschmiert	schmier ab	schmiert ab
abschminken	schminke ab	schminkst ab	schminkt ab	schminken ab	schminkt ab	schminken ab	schminkte ab	schminktest ab	schminkte ab	schminkten ab	schminktet ab	schminkten ab	abgeschminkt	schminke ab	schminkt ab
abschmirgeln	schmirgle ab	schmirgelst ab	schmirgelt ab	schmirgeln ab	schmirgelt ab	schmirgeln ab	schmirgelte ab	schmirgeltest ab	schmirgelte ab	schmirgelten ab	schmirgeltet ab	schmirgelten ab	abgeschmirgelt	schmirgele ab	schmirgelt ab
abschmücken	schmücke ab	schmückst ab	schmückt ab	schmücken ab	schmückt ab	schmücken ab	schmückte ab	schmücktest ab	schmückte ab	schmückten ab	schmücktet ab	schmückten ab	abgeschmückt	schmück ab	schmückt ab
abschneiden	schneide ab	schneidest ab	schneidet ab	schneiden ab	schneidet ab	schneiden ab	schnitt ab	schnittest ab	schnitt ab	schnitten ab	schnittet ab	schnitten ab	abgeschnitten	schneide ab	schneidet ab
abschnüren	schnüre ab	schnürst ab	schnürt ab	schnüren ab	schnürt ab	schnüren ab	schnürte ab	schnürtest ab	schnürte ab	schnürten ab	schnürtet ab	schnürten ab	abgeschnürt	schnür ab	schnürt ab
abschotten	schotte ab	schottest ab	schottet ab	schotten ab	schottet ab	schotten ab	schottete ab	schottetest ab	schottete ab	schotteten ab	schottetet ab	schotteten ab	abgeschottet	schott ab	schottet ab
abschrauben	schraube ab	schraubst ab	schraubt ab	schrauben ab	schraubt ab	schrauben ab	schraubte ab	schraubtest ab	schraubte ab	schraubten ab	schraubtet ab	schraubten ab	abgeschraubt	schraube ab	schraubt ab
abschrecken	schrecke ab	schreckst ab	schreckt ab	schrecken ab	schreckt ab	schrecken ab	schreckte ab	schrecktest ab	schreckte ab	schreckten ab	schrecktet ab	schreckten ab	abgeschreckt	schreck ab	schreckt ab
abschreiben	schreibe ab	schreibst ab	schreibt ab	schreiben ab	schreibt ab	schreiben ab	schrieb ab	schriebst ab	schrieb ab	schrieben ab	schriebt ab	schrieben ab	abgeschrieben	schreib ab	schreibt ab
abschreiten	schreite ab	schreitest ab	schreitet ab	schreiten ab	schreitet ab	schreiten ab	schritt ab	schrittest ab	schritt ab	schritten ab	schrittet ab	schritten ab	abgeschritten	schreit ab	schreitet ab
abschrubben	schrubbe ab	schrubbst ab	schrubbt ab	schrubben ab	schrubbt ab	schrubben ab	schrubbte ab	schrubbtest ab	schrubbte ab	schrubbten ab	schrubbtet ab	schrubbten ab	abgeschrubbt	schrubb ab	schrubbt ab
abschrägen	schräge ab	schrägst ab	schrägt ab	schrägen ab	schrägt ab	schrägen ab	schrägte ab	schrägtest ab	schrägte ab	schrägten ab	schrägtet ab	schrägten ab	abgeschrägt	schräg ab	schrägt ab
abschulen													abgeschult		
abschuppen	schuppe ab	schuppst ab	schuppt ab	schuppen ab	schuppt ab	schuppen ab	schuppte ab	schupptest ab	schuppte ab	schuppten ab	schupptet ab	schuppten ab	abgeschuppt	schupp ab	schuppt ab
abschwarten	schwarte ab	schwartest ab	schwartet ab	schwarten ab	schwartet ab	schwarten ab	schwartete ab	schwartetest ab	schwartete ab	schwarteten ab	schwartetet ab	schwarteten ab	abgeschwartet	schwart ab	schwartet ab
abschwatzen	schwatze ab	schwatzt ab	schwatzt ab	schwatzen ab	schwatzt ab	schwatzen ab	schwatzte ab	schwatztest ab	schwatzte ab	schwatzten ab	schwatztet ab	schwatzten ab	abgeschwatzt	schwatz ab	schwatzt ab
abschweifen	schweife ab	schweifst ab	schweift ab	schweifen ab	schweift ab	schweifen ab	schweifte ab	schweiftest ab	schweifte ab	schweiften ab	schweiftet ab	schweiften ab	abgeschweift	schweif ab	schweift ab
abschwellen	schwelle ab	schwillst ab	schwillt ab	schwellen ab	schwellt ab	schwellen ab	schwoll ab	schwollst ab	schwoll ab	schwollen ab	schwollt ab	schwollen ab	abgeschwollen	schwill ab	schwellt ab
abschwimmen	schwimme ab	schwimmst ab	schwimmt ab	schwimmen ab	schwimmt ab	schwimmen ab	schwamm ab	schwammst ab	schwamm ab	schwammen ab	schwammt ab	schwammen ab	abgeschwommen	schwimm ab	schwimmt ab
abschwächen	schwäche ab	schwächst ab	schwächt ab	schwächen ab	schwächt ab	schwächen ab	schwächte ab	schwächtest ab	schwächte ab	schwächten ab	schwächtet ab	schwächten ab	abgeschwächt	schwäch ab	schwächt ab
abschwätzen	schwätze ab	schwätzt ab	schwätzt ab	schwätzen ab	schwätzt ab	schwätzen ab	schwätzte ab	schwätztest ab	schwätzte ab	schwätzten ab	schwätztet ab	schwätzten ab	abgeschwätzt	schwätz ab	schwätzt ab
abschwören	schwöre ab	schwörst ab	schwört ab	schwören ab	schwört ab	schwören ab	schwor ab	schworst ab	schwor ab	schworen ab	schwort ab	schworen ab	abgeschworen	schwör ab	schwört ab
abschälen	schäle ab	schälst ab	schält ab	schälen ab	schält ab	schälen ab	schälte ab	schältest ab	schälte ab	schälten ab	schältet ab	schälten ab	abgeschält	schäl ab	schält ab
abschärfen	schärfe ab	schärfst ab	schärft ab	schärfen ab	schärft ab	schärfen ab	schärfte ab	schärftest ab	schärfte ab	schärften ab	schärftet ab	schärften ab	abgeschärft	schärfe ab	schärft ab
abschätzen	schätze ab	schätzt ab	schätzt ab	schätzen ab	schätzt ab	schätzen ab	schätzte ab	schätztest ab	schätzte ab	schätzten ab	schätztet ab	schätzten ab	abgeschätzt	schätz ab	schätzt ab
abschäumen	schäum ab	schäumst ab	schäumt ab	schäumen ab	schäumt ab	schäumen ab	schäumte ab	schäumtest ab	schäumte ab	schäumten ab	schäumtet ab	schäumten ab	abgeschäumt	schäum ab	schäumt ab
abschöpfen	schöpfe ab	schöpfst ab	schöpft ab	schöpfen ab	schöpft ab	schöpfen ab	schöpfte ab	schöpftest ab	schöpfte ab	schöpften ab	schöpftet ab	schöpften ab	abgeschöpft	schöpf ab	schöpft ab
abschürfen	schürfe ab	schürfst ab	schürft ab	schürfen ab	schürft ab	schürfen ab	schürfte ab	schürftest ab	schürfte ab	schürften ab	schürftet ab	schürften ab	abgeschürft	schürf ab	schürft ab
abschütteln	schüttle ab	schüttelst ab	schüttelt ab	schütteln ab	schüttelt ab	schütteln ab	schüttelte ab	schütteltest ab	schüttelte ab	schüttelten ab	schütteltet ab	schüttelten ab	abgeschüttelt	schüttle ab	schüttelt ab
absegeln	segle ab	segelst ab	segelt ab	segeln ab	segelt ab	segeln ab	segelte ab	segeltest ab	segelte ab	segelten ab	segeltet ab	segelten ab	abgesegelt	segle ab	segelt ab
absegnen	segne ab	segnest ab	segnet ab	segnen ab	segnet ab	segnen ab	segnete ab	segnetest ab	segnete ab	segneten ab	segnetet ab	segneten ab	abgesegnet	segne ab	segnet ab
absehen	sehe ab	siehst ab	sieht ab	sehen ab	seht ab	sehen ab	sah ab	sahst ab	sah ab	sahen ab	saht ab	sahen ab	abgesehen	sieh ab	seht ab
abseifen	seife ab	seifst ab	seift ab	seifen ab	seift ab	seifen ab	seifte ab	seiftest ab	seifte ab	seiften ab	seiftet ab	seiften ab	abgeseift	seif ab	seift ab
abseihen	seihe ab	seihst ab	seiht ab	seihen ab	seiht ab	seihen ab	seihte ab	seihtest ab	seihte ab	seihten ab	seihtet ab	seihten ab	abgeseiht	seih ab	seiht ab
abseilen	seile ab	seilst ab	seilt ab	seilen ab	seilt ab	seilen ab	seilte ab	seiltest ab	seilte ab	seilten ab	seiltet ab	seilten ab	abgeseilt	seil ab	seilt ab
absenden	sende ab	sendest ab	sendet ab	senden ab	sendet ab	senden ab	sendete ab	sendetest ab	sendete ab	sendeten ab	sendetet ab	sendeten ab	abgesendet	send ab	sendet ab
absenken	senke ab	senkst ab	senkt ab	senken ab	senkt ab	senken ab	senkte ab	senktest ab	senkte ab	senkten ab	senktet ab	senkten ab	abgesenkt	senk ab	senkt ab
absentieren	absentiere	absentierst	absentiert	absentieren	absentiert	absentieren	absentierte	absentiertest	absentierte	absentierten	absentiertet	absentierten	absentiert	absentier	absentiert
abservieren	serviere ab	servierst ab	serviert ab	servieren ab	serviert ab	servieren ab	servierte ab	serviertest ab	servierte ab	servierten ab	serviertet ab	servierten ab	abserviert	servier ab	serviert ab
absetzen	setze ab	setzt ab	setzt ab	setzen ab	setzt ab	setzen ab	setzte ab	setztest ab	setzte ab	setzten ab	setztet ab	setzten ab	abgesetzt	setz ab	setzt ab
absichern	sicher ab	sicherst ab	sichert ab	sichern ab	sichert ab	sichern ab	sicherte ab	sichertest ab	sicherte ab	sicherten ab	sichertet ab	sicherten ab	abgesichert	sichere ab	sichert ab
absinken	sinke ab	sinkst ab	sinkt ab	sinken ab	sinkt ab	sinken ab	sank ab	sankst ab	sank ab	sanken ab	sankt ab	sanken ab	abgesunken	sink ab	sinkt ab
absolvieren	absolviere	absolvierst	absolviert	absolvieren	absolviert	absolvieren	absolvierte	absolviertest	absolvierte	absolvierten	absolviertet	absolvierten	absolviert	absolviere	absolviert
absondern	sonder ab	sonderst ab	sondert ab	sondern ab	sondert ab	sondern ab	sonderte ab	sondertest ab	sonderte ab	sonderten ab	sondertet ab	sonderten ab	abgesondert	sondere ab	sondert ab
absorbieren	absorbiere	absorbierst	absorbiert	absorbieren	absorbiert	absorbieren	absorbierte	absorbiertest	absorbierte	absorbierten	absorbiertet	absorbierten	absorbiert	absorbiere	absorbiert
abspalten	spalte ab	spaltest ab	spaltet ab	spalten ab	spaltet ab	spalten ab	spaltete ab	spaltetest ab	spaltete ab	spalteten ab	spaltetet ab	spalteten ab	abgespalten	spalt ab	spaltet ab
abspannen	spann ab	spannst ab	spannt ab	spannen ab	spannt ab	spannen ab	spannte ab	spanntest ab	spannte ab	spannten ab	spanntet ab	spannten ab	abgespannt	spann ab	spannt ab
absparen													abgespart	spar ab	spart ab
abspecken	specke ab	speckst ab	speckt ab	specken ab	speckt ab	specken ab	speckte ab	specktest ab	speckte ab	speckten ab	specktet ab	speckten ab	abgespeckt	speck ab	speckt ab
abspeichern	speicher ab	speicherst ab	speichert ab	speichern ab	speichert ab	speichern ab	speicherte ab	speichertest ab	speicherte ab	speicherten ab	speichertet ab	speicherten ab	abgespeichert	speichere ab	speichert ab
abspeisen	speise ab	speist ab	speist ab	speisen ab	speist ab	speisen ab	speiste ab	speistest ab	speiste ab	speisten ab	speistet ab	speisten ab	abgespeist	speis ab	speist ab
absperren	sperre ab	sperrst ab	sperrt ab	sperren ab	sperrt ab	sperren ab	sperrte ab	sperrtest ab	sperrte ab	sperrten ab	sperrtet ab	sperrten ab	abgesperrt	sperre ab	sperrt ab
abspicken	spicke ab	spickst ab	spickt ab	spicken ab	spickt ab	spicken ab	spickte ab	spicktest ab	spickte ab	spickten ab	spicktet ab	spickten ab	abgespickt	spick ab	spickt ab
abspielen	spiele ab	spielst ab	spielt ab	spielen ab	spielt ab	spielen ab	spielte ab	spieltest ab	spielte ab	spielten ab	spieltet ab	spielten ab	abgespielt	spiele ab	spielt ab
abspinnen	spinne ab	spinnst ab	spinnt ab	spinnen ab	spinnt ab	spinnen ab	spann ab	spannst ab	spann ab	spannen ab	spannt ab	spannen ab	abgesponnen	spinn ab	spinnt ab
absplittern	splitter ab	splitterst ab	splittert ab	splittern ab	splittert ab	splittern ab	splitterte ab	splittertest ab	splitterte ab	splitterten ab	splittertet ab	splitterten ab	abgesplittert	splitter ab	splittert ab
absporen			sport ab			sporen ab			sporte ab			sporten ab	abgesport		sport ab
absprechen	spreche ab	sprichst ab	spricht ab	sprechen ab	sprecht ab	sprechen ab	sprach ab	sprachst ab	sprach ab	sprachen ab	spracht ab	sprachen ab	abgesprochen	sprich ab	sprecht ab
abspringen	springe ab	springst ab	springt ab	springen ab	springt ab	springen ab	sprang ab	sprangst ab	sprang ab	sprangen ab	sprangt ab	sprangen ab	abgesprungen	spring ab	springt ab
abspritzen	spritze ab	spritzt ab	spritzt ab	spritzen ab	spritzt ab	spritzen ab	spritzte ab	spritztest ab	spritzte ab	spritzten ab	spritztet ab	spritzten ab	abgespritzt	spritz ab	spritzt ab
absprudeln	sprudle ab	sprudelst ab	sprudelt ab	sprudeln ab	sprudelt ab	sprudeln ab	sprudelte ab	sprudeltest ab	sprudelte ab	sprudelten ab	sprudeltet ab	sprudelten ab	abgesprudelt	sprudel ab	sprudelt ab
abspulen	spule ab	spulst ab	spult ab	spulen ab	spult ab	spulen ab	spulte ab	spultest ab	spulte ab	spulten ab	spultet ab	spulten ab	abgespult	spul ab	spult ab
abspülen	spüle ab	spülst ab	spült ab	spülen ab	spült ab	spülen ab	spülte ab	spültest ab	spülte ab	spülten ab	spültet ab	spülten ab	abgespült	spüle ab	spült ab
abstammen	stamm ab	stammst ab	stammt ab	stammen ab	stammt ab	stammen ab	stammte ab	stammtest ab	stammte ab	stammten ab	stammtet ab	stammten ab	abgestammt	stamm ab	stammt ab
abstatten	statte ab	stattest ab	stattet ab	statten ab	stattet ab	statten ab	stattete ab	stattetest ab	stattete ab	statteten ab	stattetet ab	statteten ab	abgestattet	statt ab	stattet ab
abstauben	staube ab	staubst ab	staubt ab	stauben ab	staubt ab	stauben ab	staubte ab	staubtest ab	staubte ab	staubten ab	staubtet ab	staubten ab	abgestaubt	staube ab	staubt ab
abstecken	stecke ab	steckst ab	steckt ab	stecken ab	steckt ab	stecken ab	steckte ab	stecktest ab	steckte ab	steckten ab	stecktet ab	steckten ab	abgesteckt	stecke ab	steckt ab
abstehen	stehe ab	stehst ab	steht ab	stehen ab	steht ab	stehen ab	stand ab	standest ab	stand ab	standen ab	standet ab	standen ab	abgestanden	steh ab	steht ab
absteigen	steige ab	steigst ab	steigt ab	steigen ab	steigt ab	steigen ab	stieg ab	stiegst ab	stieg ab	stiegen ab	stiegt ab	stiegen ab	abgestiegen	steig ab	steigt ab
