word	pos_values
absolutt	adj,adv,noun
absoluttering	noun
absolvere	verb
absolvering	noun
absorbator	noun
absorbent	noun
absorbere	verb
absorbering	noun
absorberingsevne	noun
absorberingskoeffisient	noun
absorpsjon	noun
absorpsjonsevne	noun
absorpsjonskjøleskap	noun
absorpsjonskoeffisient	noun
absorptiv	adj
abstinens	noun
abstinenssymptom	noun
abstinent	adj
abstinering	noun
abstrahere	verb
abstrahering	noun
abstraksjon	noun
abstraksjonsevne	noun
abstraksjonsnivå	noun
abstraksjonsplan	noun
abstrakt	adj,noun
absurd	adj
absurdisme	noun
absurdist	noun
absurdistisk	adj
absurditet	noun
absurdteater	noun
abyssiner	noun
acappellakor	noun
acappellasang	noun
accent	noun
accessoir	noun
acetat	noun
aceton	noun
acetyl	noun
acetylen	noun
acetylsalisylsyre	noun
acre	noun
actinium	noun
ad	phrase
adagio	adv,noun
adam	noun
adamseple	noun
addend	noun
addere	verb
addisjon	noun
adekvat	adj
adel	noun
adelsmann	noun
adelsmerke	noun
adept	noun
adferd	noun
adgang	noun
adjektiv	noun
adjø	intj,noun
adle	verb
administrasjon	noun
administrasjonssenter	noun
administrativ	adj
administrator	noun
administrere	verb
admiral	noun
adopsjon	noun
adoptere	verb
adrenalin	noun
adressat	noun
adresse	noun
adressere	verb
adskille	verb
adstadig	adj
advare	verb
advarsel	noun
advent	noun
adventist	noun
adventskalender	noun
adverb	noun
adverbial	noun
advis	noun
advisere	verb
advokat	noun
advokatfirma	noun
aerodynamikk	noun
aerodynamisk	adj
aerofobi	noun
aerosol	noun
afar	noun
afasi	noun
affeksjon	noun
affekt	noun
affektere	verb
affektiv	adj
affære	noun
afghaner	noun
afghanistan	name
afghansk	adj
aforisme	noun
afrika	name
afrikaans	noun
afrikand	noun
afrikander	noun
afrikaner	noun
afrikansk	adj
afroamerikaner	noun
afrodisiakum	noun
aften	noun
aftenkjole	noun
aftensmat	noun
afterski	noun
aftes	noun
agdenes	name
agenda	noun
agent	noun
aggresjon	noun
aggressiv	adj
agn	noun
agnes	name
agnostiker	noun
agnostisisme	noun
agnostisk	adj
agorafobi	noun
agronom	noun
agurk	noun
agurkmiks	noun
agurktid	noun
ahmadi	name
ai	intj
aids	noun
aigu	noun
aircondition	noun
aiss	noun
ajourføre	verb
