word	pos_values
accra	name
acetat	noun
aceton	noun
acetyl	noun
acetylen	noun
acetylsalicylsyra	noun
aciditet	noun
ack	intj
acke	name
ackja	noun
acklamation	noun
acklimatisera	verb
acklimatiserad	adj
acklimatisering	noun
ackommodation	noun
ackommodera	verb
ackommoderad	adj
ackompanjemang	noun
ackompanjera	verb
ackompanjerad	adj
ackord	noun
ackordeon	noun
ackordera	verb
ackreditera	verb
ackumelera	verb
ackumulation	noun
ackumulator	noun
ackumulera	verb
ackumulerad	adj
ackumulering	noun
ackurat	adj
ackuratess	noun
ackusativ	noun
ackuschör	noun
ackuschörska	noun
ackvisition	noun
acne	noun
action	noun
actionfigur	noun
actionfilm	noun
actionhjälte	noun
ad	name,noun
ada	name
adagio	adv,noun
adam	intj,name
adamsberg	name
adamsäpple	noun
adapter	noun
adde	name
addend	noun
addera	verb
adderad	adj
addition	noun
additionstecken	noun
additiv	adj
adekvat	adj
adel	noun
adelsdam	noun
adelskap	noun
adelskvinna	noun
adelsman	noun
adelssläkt	noun
adept	noun
aderton	num
adessiv	noun
adhd	noun
adiabatisk	adj
adiafora	noun
adidas	name
adjektiv	adj,noun
adjektivböjning	noun
adjektivisk	adj
adjungera	verb
adjungerad	adj
adjunkt	noun
adjutant	noun
adjö	intj
adla	verb
adlad	adj
adlig	adj
adligt	adv
administration	noun
administrativ	adj
administratör	noun
administrera	verb
administrerad	adj
admins	noun
admittans	noun
admonition	noun
adolf	name
adolfina	name
adoptera	verb
adoption	noun
adoptiv	adj
adoptivbarn	noun
adoptivfar	noun
adoptivmor	noun
adrenalin	noun
adress	noun
adressaritmetik	noun
adressat	noun
adressbok	noun
adressera	verb
adresserad	adj
adressering	noun
adresseringsstruktur	noun
adressregister	noun
adressuppgift	noun
adrian	name
aducera	verb
advent	noun
adventskalender	noun
adventskonsert	noun
adventsljusstake	noun
adventsstake	noun
adventsstjärna	noun
adventssöndag	noun
adverb	noun
adverbial	noun
advocera	verb
advokat	noun
advokatsamfund	noun
aerob	adj
aerobics	noun
aerobisk	adj
aerodynamik	noun
aerodynamisk	adj
aerofobi	noun
afa	name
afar	noun
afariska	noun
afasi	noun
afatiker	noun
afatisk	adj
affektionsvärde	noun
affektiv	adj
affin	adj
affinitet	noun
affirmera	verb
affisch	noun
affischera	verb
affischering	noun
affischpelare	noun
affischör	noun
affix	noun
affixoid	noun
affogato	noun
affrikata	noun
affär	noun
affärsbiträde	noun
affärshemlighet	noun
affärsimperium	noun
affärskvinna	noun
affärsliv	noun
affärsman	noun
affärsmodell	noun
affärsmässig	adj
affärsmässighet	noun
affärspartner	noun
affärsplan	noun
affärsresa	noun
afghan	noun
afghanistan	name
afghansk	adj
afghanska	noun
afoni	noun
aforism	noun
aforistisk	adj
afrika	name
afrikaan	noun
afrikaans	noun
afrikan	noun
afrikanisera	verb
afrikanisering	noun
afrikansk	adj
afrikanska	noun
afroamerikan	noun
afroamerikansk	adj
afroasiatisk	adj
afrodisiakum	noun
afrodite	name
afrofrisyr	noun
afropop	noun
afrosvensk	adj,noun
aftershave	noun
afterski	adj,noun
afterwork	noun
afton	noun
aftonbön	noun
aftonfalk	noun
aftonklänning	noun
aftonstjärna	noun
ag	noun
aga	noun,verb
agaförbud	noun
agalmatofili	noun
agat	noun
agda	name
agenda	noun
agent	noun
agentfilm	noun
agentroman	noun
agentskap	noun
agentur	noun
agera	verb
agerande	adj,noun
agg	noun
agglomerering	noun
aggregat	noun
aggregera	verb
aggressiv	adj
aggressivitet	noun
agility	noun
agitation	noun
agitator	noun
agitatorisk	adj
agitera	verb
agn	noun
agna	verb
agnat	noun
agne	name
agnes	name
agneta	name
agnetha	name
agnosticism	noun
agnostiker	noun
agnostisk	adj
agorafobi	noun
agrafi	noun
agrafisk	adj
agrar	adj
agrikultur	noun
agronom	noun
agronomi	noun
agunnaryd	name
ah	intj
ahlman	name
ai	noun
aids	noun
aidsepidemi	noun
aidsvaccin	noun
aik	name
aina	name
aioli	noun
airbag	noun
airedaleterrier	noun
aisopos	name
aiss	noun
aj	intj
aja	intj
ajdå	intj
ajour	adj
ajournera	verb
ajvar	noun
ak	noun
akacia	noun
akaciames	noun
akacieträd	noun
akademi	noun
akademiker	noun
akademimedlem	noun
akademisk	adj
akajer	noun
akalkyli	noun
akilles	name
akilleshäl	noun
akillesreflex	noun
akkadisk	adj
akkadiska	noun
akleja	noun
akne	noun
akribi	noun
akrobat	noun
akrobatik	noun
akrocyanos	noun
akrofobi	noun
akronym	noun
akryl	noun
akt	noun
akta	verb
aktad	adj
akter	noun
aktersnurra	noun
aktie	noun
aktieanalytiker	noun
aktiebolag	noun
aktieindex	noun
aktiekurs	noun
aktiemarknad	noun
aktieportfölj	noun
aktieutdelning	noun
aktieägare	noun
aktinium	noun
aktion	noun
aktionspotential	noun
aktionsradie	noun
aktiv	adj,noun
aktivera	verb
aktiverad	adj
aktivering	noun
aktivism	noun
aktivist	noun
aktivistgrupp	noun
aktivitet	noun
aktivum	noun
aktning	noun
aktningsfull	adj
aktningsvärd	adj
aktningsvärdhet	noun
aktris	noun
aktsam	adj
aktsamhet	noun
aktualisera	verb
aktualiserad	adj
aktualitet	noun
aktuell	adj
aktör	noun
akupunktera	verb
akupunktur	noun
akustik	noun
akustiker	noun
akustisk	adj
akut	adj
akut-p-piller	noun
akutbil	noun
akutklinik	noun
akutmottagning	noun
akutsjukhus	noun
akutsnitt	noun
akvakultur	noun
akvamarin	adj,noun
akvarellmålare	noun
akvariefisk	noun
akvarist	noun
akvarium	noun
akvatisk	adj
akvedukt	noun
al	noun
